,train,val,test
0,C3N-00386-21,C3L-01064-24,C3L-00086-21
1,C3N-00200-21,C3L-01631-23,C3L-00898-22
2,C3N-00200-22,C3L-01840-21,C3N-00324-22
3,C3N-00200-23,C3L-02347-21,C3L-00962-21
4,C3N-00321-23,C3L-02408-25,C3N-00324-21
5,C3N-00321-22,C3L-02411-22,C3N-00334-25
6,C3N-00322-24,C3L-02545-21,C3N-00335-24
7,C3N-00321-21,C3L-03152-21,C3L-02119-25
8,C3N-00322-25,C3N-00858-21,C3L-02125-26
9,C3N-00322-21,C3N-00755-21,C3L-02125-24
10,C3N-00322-22,C3N-00859-21,C3L-02347-22
11,C3N-00322-23,C3N-00859-22,C3N-00340-22
12,C3N-00323-23,C3L-00932-21,C3N-00377-22
13,C3N-00323-24,C3L-00605-21,C3N-00377-21
14,C3N-00323-22,C3N-01873-23,C3L-02449-21
15,C3N-00323-25,C3N-01874-23,C3L-02468-23
16,C3N-00323-21,C3N-02012-21,C3L-02545-23
17,C3L-00898-24,C3N-02027-22,C3L-02602-21
18,C3L-00898-25,C3N-02030-21,C3L-02746-24
19,C3L-00898-21,C3N-01537-22,C3N-00847-23
20,C3L-00943-21,C3N-02972-21,C3L-03143-21
21,C3N-00324-25,C3L-00006-21,C3L-01925-28
22,C3L-00898-23,C3N-01825-23,C3L-01307-21
23,C3N-00324-23,C3L-00098-21,C3N-00155-23
24,C3N-00324-24,C3N-04164-21,C3L-01256-21
25,C3N-00326-21,C3L-01601-22,C3L-01257-21
26,C3L-01064-21,C3L-05501-21,C3L-01249-21
27,C3L-01064-25,C3L-01706-27,C3N-01267-23
28,C3L-01064-23,C3L-02630-25,C3N-01001-23
29,C3L-01064-22,C3L-02359-22,C3L-00905-23
30,C3N-00326-23,C3N-00875-21,C3L-00905-22
31,C3N-00151-22,C3L-02846-21,C3N-01525-23
32,C3N-00151-23,C3L-02115-28,C3N-01529-22
33,C3L-01274-21,C3N-01168-22,C3L-00781-25
34,C3N-00326-25,C3L-02613-21,C3N-01843-21
35,C3L-01277-21,C3L-02897-21,C3N-01847-21
36,C3L-01284-22,C3L-03743-22,C3N-01848-22
37,C3N-00328-24,C3L-04027-21,C3L-00767-21
38,C3N-00326-24,C3L-04853-21,C3N-01878-22
39,C3L-01284-21,C3N-01907-22,C3N-02030-22
40,C3L-01355-23,C3N-02010-23,C3N-02062-22
41,C3L-01355-21,C3N-03854-22,C3N-02337-22
42,C3N-00326-22,C3L-01702-23,C3N-02598-21
43,C3N-00328-25,C3L-01158-23,C3N-02636-22
44,C3L-01355-22,C3N-04283-23,C3N-02678-21
45,C3L-01599-23,C3L-00395-21,C3N-02978-22
46,C3N-00328-22,C3L-00102-21,C3L-00161-24
47,C3N-00328-21,C3N-01019-21,C3L-00156-21
48,C3N-00333-23,C3L-00446-24,C3L-00035-21
49,C3N-00328-23,C3N-01417-21,C3L-00567-23
50,C3L-01604-21,C3N-02529-22,C3N-04164-23
51,C3L-01604-23,C3N-02379-22,C3N-03489-23
52,C3L-01604-22,C3L-04757-25,C3N-02034-21
53,C3N-00333-21,C3N-00169-21,C3N-03208-22
54,C3L-01631-21,C3N-02153-24,C3L-05501-23
55,C3L-01633-22,C3N-02192-23,C3L-05023-24
56,C3L-01633-23,C3N-02003-21,C3N-01532-21
57,C3L-01633-21,C3N-00546-24,C3N-01532-22
58,C3L-01639-21,C3N-02923-22,C3N-01523-23
59,C3L-01664-22,C3L-02515-22,C3L-03953-21
60,C3L-01664-23,C3N-03890-22,C3N-00855-23
61,C3L-01664-21,C3N-00556-23,C3N-00853-23
62,C3L-01668-21,C3N-00560-23,C3N-00843-22
63,C3L-01672-21,C3L-00263-21,C3L-02213-21
64,C3N-00333-22,C3L-03976-21,C3N-03068-21
65,C3N-00334-24,C3N-01415-24,C3L-01689-22
66,C3L-01729-21,C3L-02893-22,C3L-01598-23
