,train,val,test
C3N-02729-22,True,False,False
C3N-02729-21,True,False,False
C3N-01019-23,True,False,False
C3L-04365-23,True,False,False
C3N-01019-22,True,False,False
C3N-01022-24,True,False,False
C3N-01022-22,True,False,False
C3N-01022-23,True,False,False
C3L-00444-21,True,False,False
C3L-04365-21,True,False,False
C3L-00444-22,True,False,False
C3L-04365-24,True,False,False
C3L-04365-22,True,False,False
C3L-04365-25,True,False,False
C3L-00446-21,True,False,False
C3L-00446-22,True,False,False
C3L-00446-23,True,False,False
C3N-02588-22,True,False,False
C3N-02588-21,True,False,False
C3N-02587-21,True,False,False
C3N-02586-22,True,False,False
C3N-02586-21,True,False,False
C3N-02587-22,True,False,False
C3N-00294-24,True,False,False
C3N-00294-23,True,False,False
C3N-00294-21,True,False,False
C3N-02582-21,True,False,False
C3N-00294-22,True,False,False
C3N-00293-23,True,False,False
C3N-00293-22,True,False,False
C3N-00293-21,True,False,False
C3N-00293-24,True,False,False
C3N-02572-21,True,False,False
C3N-01408-24,True,False,False
C3N-01408-22,True,False,False
C3N-01408-21,True,False,False
C3N-01408-23,True,False,False
C3N-01409-22,True,False,False
C3N-01409-24,True,False,False
C3N-01409-21,True,False,False
C3N-01409-23,True,False,False
C3N-01417-24,True,False,False
C3N-01417-22,True,False,False
C3N-01417-23,True,False,False
C3N-01419-24,True,False,False
C3N-00223-23,True,False,False
C3N-00223-22,True,False,False
C3N-00223-21,True,False,False
C3N-00223-24,True,False,False
C3N-01419-23,True,False,False
C3N-02529-21,True,False,False
C3N-01419-21,True,False,False
C3N-01419-22,True,False,False
C3N-02433-22,True,False,False
C3N-02433-21,True,False,False
C3N-02424-22,True,False,False
C3N-02424-21,True,False,False
C3N-00217-24,True,False,False
C3N-02423-21,True,False,False
C3N-00217-23,True,False,False
C3N-00217-22,True,False,False
C3N-00217-21,True,False,False
C3N-02423-22,True,False,False
C3N-02422-22,True,False,False
C3N-02422-21,True,False,False
C3N-02421-22,True,False,False
C3N-02421-21,True,False,False
C3N-02380-22,True,False,False
C3N-02379-21,True,False,False
C3L-02129-23,True,False,False
C3L-02129-21,True,False,False
C3L-02129-24,True,False,False
C3N-00203-23,True,False,False
C3N-00203-24,True,False,False
C3N-00203-22,True,False,False
C3N-00203-21,True,False,False
C3L-04757-21,True,False,False
C3N-00199-21,True,False,False
C3L-04757-22,True,False,False
C3N-00199-23,True,False,False
C3L-04757-23,True,False,False
C3L-04757-24,True,False,False
C3L-04759-25,True,False,False
C3L-04759-21,True,False,False
C3L-04759-22,True,False,False
C3L-02165-22,True,False,False
C3N-00180-22,True,False,False
C3N-00180-21,True,False,False
C3L-02165-21,True,False,False
C3N-00180-24,True,False,False
C3L-02165-23,True,False,False
C3L-02169-22,True,False,False
C3L-02169-21,True,False,False
C3N-00175-22,True,False,False
C3N-00175-21,True,False,False
C3N-00175-24,True,False,False
C3N-00175-23,True,False,False
C3N-00169-23,True,False,False
C3N-00169-24,True,False,False
C3N-00169-22,True,False,False
C3L-02169-23,True,False,False
C3L-02169-24,True,False,False
C3L-04759-23,True,False,False
C3N-00167-22,True,False,False
C3N-00167-21,True,False,False
C3L-04759-24,True,False,False
C3N-00167-24,True,False,False
C3N-02251-27,True,False,False
C3N-02251-26,True,False,False
C3N-02158-22,True,False,False
C3N-02088-24,True,False,False
C3N-02088-23,True,False,False
C3N-02088-22,True,False,False
C3N-02088-21,True,False,False
C3N-02090-23,True,False,False
C3N-02090-22,True,False,False
C3N-02090-21,True,False,False
C3N-02141-24,True,False,False
C3N-02141-21,True,False,False
C3N-02141-22,True,False,False
C3N-02141-23,True,False,False
C3N-02142-24,True,False,False
C3N-02142-21,True,False,False
C3N-02142-22,True,False,False
C3L-04040-23,True,False,False
C3N-02143-21,True,False,False
C3N-02143-22,True,False,False
C3L-04040-22,True,False,False
C3N-02143-23,True,False,False
C3L-04040-21,True,False,False
C3N-02143-24,True,False,False
C3L-04040-24,True,False,False
C3N-02144-24,True,False,False
C3N-02144-21,True,False,False
C3N-02144-22,True,False,False
C3L-04040-25,True,False,False
C3N-02146-24,True,False,False
C3N-02144-23,True,False,False
C3N-02146-22,True,False,False
C3N-02146-23,True,False,False
C3L-04037-22,True,False,False
C3L-04037-24,True,False,False
C3L-04037-25,True,False,False
C3L-04037-23,True,False,False
C3N-00433-25,True,False,False
C3L-04037-21,True,False,False
C3N-02150-24,True,False,False
C3L-04033-22,True,False,False
C3N-02150-23,True,False,False
C3N-02150-21,True,False,False
C3N-02150-22,True,False,False
C3N-02152-24,True,False,False
C3N-00433-24,True,False,False
C3N-02152-22,True,False,False
C3N-00433-21,True,False,False
C3N-02152-23,True,False,False
C3N-02153-21,True,False,False
C3N-02153-22,True,False,False
C3N-02152-21,True,False,False
C3N-02153-23,True,False,False
C3N-00433-22,True,False,False
C3N-00433-23,True,False,False
C3L-04033-23,True,False,False
C3L-04033-21,True,False,False
C3L-04031-24,True,False,False
C3N-02192-24,True,False,False
C3L-04033-24,True,False,False
C3L-04033-25,True,False,False
C3N-02192-21,True,False,False
C3N-02192-22,True,False,False
C3N-02193-25,True,False,False
C3L-04031-21,True,False,False
C3L-04031-22,True,False,False
C3L-04031-23,True,False,False
C3N-02193-23,True,False,False
C3N-02193-22,True,False,False
C3N-02193-24,True,False,False
C3N-02193-21,True,False,False
C3N-02230-24,True,False,False
C3N-02230-21,True,False,False
C3N-02230-22,True,False,False
C3N-02230-23,True,False,False
C3N-02234-24,True,False,False
C3N-02234-21,True,False,False
C3N-02234-22,True,False,False
C3N-02237-24,True,False,False
C3N-02237-21,True,False,False
C3N-02237-22,True,False,False
C3N-02237-23,True,False,False
C3N-02240-24,True,False,False
C3N-02240-22,True,False,False
C3N-02240-23,True,False,False
C3N-02242-24,True,False,False
C3N-02240-21,True,False,False
C3L-04031-25,True,False,False
C3N-02242-22,True,False,False
C3N-02242-21,True,False,False
C3N-02242-23,True,False,False
C3N-02158-23,True,False,False
C3N-02158-21,True,False,False
C3L-03984-23,True,False,False
C3N-02155-24,True,False,False
C3N-02155-23,True,False,False
C3N-02149-23,True,False,False
C3N-02155-22,True,False,False
C3N-02149-21,True,False,False
C3N-02149-22,True,False,False
C3N-02149-24,True,False,False
C3N-02145-23,True,False,False
C3N-02145-22,True,False,False
C3N-02145-21,True,False,False
C3N-02282-25,True,False,False
C3N-02281-23,True,False,False
C3L-03985-25,True,False,False
C3L-03985-23,True,False,False
C3L-03985-24,True,False,False
C3N-02290-22,True,False,False
C3L-03985-21,True,False,False
C3N-02281-22,True,False,False
C3N-02145-24,True,False,False
C3N-02089-22,True,False,False
C3N-02089-21,True,False,False
C3N-02089-24,True,False,False
C3N-02087-23,True,False,False
C3N-02087-22,True,False,False
C3N-02087-21,True,False,False
C3N-02087-24,True,False,False
C3N-02067-21,True,False,False
C3N-02067-22,True,False,False
C3N-02451-23,True,False,False
C3N-02451-21,True,False,False
C3N-02002-22,True,False,False
